000002F|quiver	8301	8227	000002F_F30	9	33
000051F|quiver	70502	70801	000051F_F323	78	177
000051F|quiver	59274	59333	000051F_F323	158	177
000051F|quiver	66134	66217	000051F_F323	144	177
000051F|quiver	54217	54441	000051F_F340	2	76
000051F|quiver	63624	63677	000051F_F340	78	95
000051F|quiver	54446	54499	000051F_F340	78	95
000051F|quiver	56741	56794	000051F_F340	78	95
000051F|quiver	59036	59089	000051F_F340	78	95
000051F|quiver	61329	61382	000051F_F340	78	95
000051F|quiver	65918	65971	000051F_F340	78	95
000051F|quiver	68212	68265	000051F_F340	78	95
000051F|quiver	72797	72850	000051F_F340	78	95
000051F|quiver	54217	54744	000051F_F354	2	177
000051F|quiver	70502	70801	000051F_F354	78	177
000051F|quiver	59274	59333	000051F_F354	158	177
000051F|quiver	66134	66217	000051F_F354	144	177
001906F|quiver	4973	4929	000053F_F13	10	24
000055F|quiver	123657	123517	000055F_F322	2	48
000055F|quiver	123506	123447	000055F_F322	52	71
000055F|quiver	123657	123517	000055F_F323	2	48
000055F|quiver	123506	123447	000055F_F323	52	71
000057F|quiver	16726	16845	000057F_F145	38	77
000063F|quiver	14003	14101	000063F_F34	4	36
000067F|quiver	83317	83228	000067F_R189	9	38
000067F|quiver	79124	79035	000067F_R189	9	38
000067F|quiver	77728	77639	000067F_R189	9	38
000067F|quiver	76331	76242	000067F_R189	9	38
000067F|quiver	88335	88246	000067F_R189	9	38
000067F|quiver	86659	86570	000067F_R189	9	38
000067F|quiver	84981	84892	000067F_R189	9	38
000067F|quiver	73582	73671	000067F_R189	9	38
000067F|quiver	80523	80434	000067F_R189	9	38
000067F|quiver	74934	74845	000067F_R189	9	38
000069F|quiver	62982	62848	000069F_R249	16	60
000070F|quiver	23301	23062	000070F_R334	11	90
000070F|quiver	35723	35484	000070F_R334	11	90
000070F|quiver	18453	18214	000070F_R334	11	90
000070F|quiver	20056	19817	000070F_R334	11	90
000070F|quiver	15247	15008	000070F_R334	11	90
000070F|quiver	21677	21438	000070F_R334	11	90
000070F|quiver	24925	24821	000070F_R334	11	45
000070F|quiver	24728	24687	000070F_R334	77	90
000070F|quiver	16851	16612	000070F_R334	11	90
000070F|quiver	34095	33991	000070F_R334	11	45
000070F|quiver	13644	13540	000070F_R334	11	45
000070F|quiver	8095	7991	000070F_R334	11	45
000070F|quiver	10052	9948	000070F_R334	11	45
000070F|quiver	12076	11987	000070F_R334	11	40
000070F|quiver	32477	32403	000070F_R334	11	35
000070F|quiver	32406	32374	000070F_R334	35	45
000070F|quiver	1163	1059	000070F_R334	11	45
000070F|quiver	23301	23062	000070F_R335	11	90
000070F|quiver	35723	35484	000070F_R335	11	90
000070F|quiver	18453	18214	000070F_R335	11	90
000070F|quiver	20056	19817	000070F_R335	11	90
000070F|quiver	15247	15008	000070F_R335	11	90
000070F|quiver	21677	21438	000070F_R335	11	90
000070F|quiver	24925	24821	000070F_R335	11	45
000070F|quiver	24728	24687	000070F_R335	77	90
000070F|quiver	16851	16612	000070F_R335	11	90
000070F|quiver	34095	33991	000070F_R335	11	45
000070F|quiver	13644	13540	000070F_R335	11	45
000070F|quiver	8095	7991	000070F_R335	11	45
000070F|quiver	10052	9948	000070F_R335	11	45
000070F|quiver	12076	11987	000070F_R335	11	40
000070F|quiver	32477	32403	000070F_R335	11	35
000070F|quiver	32406	32374	000070F_R335	35	45
000070F|quiver	1163	1059	000070F_R335	11	45
000070F|quiver	23301	23062	000070F_R336	11	90
000070F|quiver	35723	35484	000070F_R336	11	90
000070F|quiver	18453	18214	000070F_R336	11	90
000070F|quiver	20056	19817	000070F_R336	11	90
000070F|quiver	15247	15008	000070F_R336	11	90
000070F|quiver	21677	21438	000070F_R336	11	90
000070F|quiver	24925	24821	000070F_R336	11	45
000070F|quiver	24728	24687	000070F_R336	77	90
000070F|quiver	16851	16612	000070F_R336	11	90
000070F|quiver	34095	33991	000070F_R336	11	45
000070F|quiver	13644	13540	000070F_R336	11	45
000070F|quiver	8095	7991	000070F_R336	11	45
000070F|quiver	10052	9948	000070F_R336	11	45
000070F|quiver	12076	11987	000070F_R336	11	40
000070F|quiver	32477	32403	000070F_R336	11	35
000070F|quiver	32406	32374	000070F_R336	35	45
000070F|quiver	1163	1059	000070F_R336	11	45
000070F|quiver	23301	23062	000070F_R337	11	90
000070F|quiver	35723	35484	000070F_R337	11	90
000070F|quiver	18453	18214	000070F_R337	11	90
000070F|quiver	20056	19817	000070F_R337	11	90
000070F|quiver	15247	15008	000070F_R337	11	90
000070F|quiver	21677	21438	000070F_R337	11	90
000070F|quiver	24925	24821	000070F_R337	11	45
000070F|quiver	24728	24687	000070F_R337	77	90
000070F|quiver	16851	16612	000070F_R337	11	90
000070F|quiver	34095	33991	000070F_R337	11	45
000070F|quiver	13644	13540	000070F_R337	11	45
000070F|quiver	8095	7991	000070F_R337	11	45
000070F|quiver	10052	9948	000070F_R337	11	45
000070F|quiver	12076	11987	000070F_R337	11	40
000070F|quiver	32477	32403	000070F_R337	11	35
000070F|quiver	32406	32374	000070F_R337	35	45
000070F|quiver	1163	1059	000070F_R337	11	45
000070F|quiver	34095	33829	000070F_R355	11	99
000070F|quiver	24925	24659	000070F_R355	11	99
000070F|quiver	32406	32212	000070F_R355	35	99
000070F|quiver	32477	32403	000070F_R355	11	35
000070F|quiver	35723	35619	000070F_R355	11	45
000070F|quiver	35497	35456	000070F_R355	86	99
000070F|quiver	23301	23197	000070F_R355	11	45
000070F|quiver	20056	19952	000070F_R355	11	45
000070F|quiver	19830	19789	000070F_R355	86	99
000070F|quiver	15247	15143	000070F_R355	11	45
000070F|quiver	15021	14980	000070F_R355	86	99
000070F|quiver	21677	21573	000070F_R355	11	45
000070F|quiver	21451	21410	000070F_R355	86	99
000070F|quiver	18453	18349	000070F_R355	11	45
000070F|quiver	13644	13540	000070F_R355	11	45
000070F|quiver	16851	16747	000070F_R355	11	45
000070F|quiver	8095	7991	000070F_R355	11	45
000070F|quiver	10052	9948	000070F_R355	11	45
000070F|quiver	12076	11987	000070F_R355	11	40
000070F|quiver	1163	1074	000070F_R355	11	40
000070F|quiver	37121	37047	000070F_R355	78	99
000070F|quiver	23075	23034	000070F_R355	86	99
000070F|quiver	18227	18186	000070F_R355	86	99
000070F|quiver	16625	16584	000070F_R355	86	99
000070F|quiver	34095	33829	000070F_R356	11	99
000070F|quiver	24925	24659	000070F_R356	11	99
000070F|quiver	32406	32212	000070F_R356	35	99
000070F|quiver	32477	32403	000070F_R356	11	35
000070F|quiver	35723	35619	000070F_R356	11	45
000070F|quiver	35497	35456	000070F_R356	86	99
000070F|quiver	23301	23197	000070F_R356	11	45
000070F|quiver	20056	19952	000070F_R356	11	45
000070F|quiver	19830	19789	000070F_R356	86	99
000070F|quiver	15247	15143	000070F_R356	11	45
000070F|quiver	15021	14980	000070F_R356	86	99
000070F|quiver	21677	21573	000070F_R356	11	45
000070F|quiver	21451	21410	000070F_R356	86	99
000070F|quiver	18453	18349	000070F_R356	11	45
000070F|quiver	13644	13540	000070F_R356	11	45
000070F|quiver	16851	16747	000070F_R356	11	45
000070F|quiver	8095	7991	000070F_R356	11	45
000070F|quiver	10052	9948	000070F_R356	11	45
000070F|quiver	12076	11987	000070F_R356	11	40
000070F|quiver	1163	1074	000070F_R356	11	40
000070F|quiver	37121	37047	000070F_R356	78	99
000070F|quiver	23075	23034	000070F_R356	86	99
000070F|quiver	18227	18186	000070F_R356	86	99
000070F|quiver	16625	16584	000070F_R356	86	99
000070F|quiver	34095	33829	000070F_R357	11	99
000070F|quiver	24925	24659	000070F_R357	11	99
000070F|quiver	32406	32212	000070F_R357	35	99
000070F|quiver	32477	32403	000070F_R357	11	35
000070F|quiver	35723	35619	000070F_R357	11	45
000070F|quiver	35497	35456	000070F_R357	86	99
000070F|quiver	23301	23197	000070F_R357	11	45
000070F|quiver	20056	19952	000070F_R357	11	45
000070F|quiver	19830	19789	000070F_R357	86	99
000070F|quiver	15247	15143	000070F_R357	11	45
000070F|quiver	15021	14980	000070F_R357	86	99
000070F|quiver	21677	21573	000070F_R357	11	45
000070F|quiver	21451	21410	000070F_R357	86	99
000070F|quiver	18453	18349	000070F_R357	11	45
000070F|quiver	13644	13540	000070F_R357	11	45
000070F|quiver	16851	16747	000070F_R357	11	45
000070F|quiver	8095	7991	000070F_R357	11	45
000070F|quiver	10052	9948	000070F_R357	11	45
000070F|quiver	12076	11987	000070F_R357	11	40
000070F|quiver	1163	1074	000070F_R357	11	40
000070F|quiver	37121	37047	000070F_R357	78	99
000070F|quiver	23075	23034	000070F_R357	86	99
000070F|quiver	18227	18186	000070F_R357	86	99
000070F|quiver	16625	16584	000070F_R357	86	99
000070F|quiver	34095	33829	000070F_R358	11	99
000070F|quiver	24925	24659	000070F_R358	11	99
000070F|quiver	32406	32212	000070F_R358	35	99
000070F|quiver	32477	32403	000070F_R358	11	35
000070F|quiver	35723	35619	000070F_R358	11	45
000070F|quiver	35497	35456	000070F_R358	86	99
000070F|quiver	23301	23197	000070F_R358	11	45
000070F|quiver	20056	19952	000070F_R358	11	45
000070F|quiver	19830	19789	000070F_R358	86	99
000070F|quiver	15247	15143	000070F_R358	11	45
000070F|quiver	15021	14980	000070F_R358	86	99
000070F|quiver	21677	21573	000070F_R358	11	45
000070F|quiver	21451	21410	000070F_R358	86	99
000070F|quiver	18453	18349	000070F_R358	11	45
000070F|quiver	13644	13540	000070F_R358	11	45
000070F|quiver	16851	16747	000070F_R358	11	45
000070F|quiver	8095	7991	000070F_R358	11	45
000070F|quiver	10052	9948	000070F_R358	11	45
000070F|quiver	12076	11987	000070F_R358	11	40
000070F|quiver	1163	1074	000070F_R358	11	40
000070F|quiver	37121	37047	000070F_R358	78	99
000070F|quiver	23075	23034	000070F_R358	86	99
000070F|quiver	18227	18186	000070F_R358	86	99
000070F|quiver	16625	16584	000070F_R358	86	99
000070F|quiver	35723	35619	000070F_R429	11	45
000070F|quiver	34095	33991	000070F_R429	11	45
000070F|quiver	23301	23197	000070F_R429	11	45
000070F|quiver	24925	24821	000070F_R429	11	45
000070F|quiver	18453	18349	000070F_R429	11	45
000070F|quiver	20056	19952	000070F_R429	11	45
000070F|quiver	15247	15143	000070F_R429	11	45
000070F|quiver	21677	21573	000070F_R429	11	45
000070F|quiver	13644	13540	000070F_R429	11	45
000070F|quiver	16851	16747	000070F_R429	11	45
000070F|quiver	8095	7991	000070F_R429	11	45
000070F|quiver	10052	9948	000070F_R429	11	45
000070F|quiver	12076	11987	000070F_R429	11	40
000070F|quiver	1163	1059	000070F_R429	11	45
000070F|quiver	32477	32403	000070F_R429	11	35
000070F|quiver	35723	35619	000070F_R430	11	45
000070F|quiver	34095	33991	000070F_R430	11	45
000070F|quiver	23301	23197	000070F_R430	11	45
000070F|quiver	24925	24821	000070F_R430	11	45
000070F|quiver	18453	18349	000070F_R430	11	45
000070F|quiver	20056	19952	000070F_R430	11	45
000070F|quiver	15247	15143	000070F_R430	11	45
000070F|quiver	21677	21573	000070F_R430	11	45
000070F|quiver	13644	13540	000070F_R430	11	45
000070F|quiver	16851	16747	000070F_R430	11	45
000070F|quiver	8095	7991	000070F_R430	11	45
000070F|quiver	10052	9948	000070F_R430	11	45
000070F|quiver	12076	11987	000070F_R430	11	40
000070F|quiver	1163	1059	000070F_R430	11	45
000070F|quiver	32477	32403	000070F_R430	11	35
000070F|quiver	35723	35619	000070F_R431	11	45
000070F|quiver	34095	33991	000070F_R431	11	45
000070F|quiver	23301	23197	000070F_R431	11	45
000070F|quiver	24925	24821	000070F_R431	11	45
000070F|quiver	18453	18349	000070F_R431	11	45
000070F|quiver	20056	19952	000070F_R431	11	45
000070F|quiver	15247	15143	000070F_R431	11	45
000070F|quiver	21677	21573	000070F_R431	11	45
000070F|quiver	13644	13540	000070F_R431	11	45
000070F|quiver	16851	16747	000070F_R431	11	45
000070F|quiver	8095	7991	000070F_R431	11	45
000070F|quiver	10052	9948	000070F_R431	11	45
000070F|quiver	12076	11987	000070F_R431	11	40
000070F|quiver	1163	1059	000070F_R431	11	45
000070F|quiver	32477	32403	000070F_R431	11	35
000070F|quiver	35723	35619	000070F_R432	11	45
000070F|quiver	34095	33991	000070F_R432	11	45
000070F|quiver	23301	23197	000070F_R432	11	45
000070F|quiver	24925	24821	000070F_R432	11	45
000070F|quiver	18453	18349	000070F_R432	11	45
000070F|quiver	20056	19952	000070F_R432	11	45
000070F|quiver	15247	15143	000070F_R432	11	45
000070F|quiver	21677	21573	000070F_R432	11	45
000070F|quiver	13644	13540	000070F_R432	11	45
000070F|quiver	16851	16747	000070F_R432	11	45
000070F|quiver	8095	7991	000070F_R432	11	45
000070F|quiver	10052	9948	000070F_R432	11	45
000070F|quiver	12076	11987	000070F_R432	11	40
000070F|quiver	1163	1059	000070F_R432	11	45
000070F|quiver	32477	32403	000070F_R432	11	35
000070F|quiver	23301	23062	000070F_R450	11	90
000070F|quiver	35723	35484	000070F_R450	11	90
000070F|quiver	18453	18214	000070F_R450	11	90
000070F|quiver	20056	19817	000070F_R450	11	90
000070F|quiver	15247	15008	000070F_R450	11	90
000070F|quiver	21677	21438	000070F_R450	11	90
000070F|quiver	24925	24821	000070F_R450	11	45
000070F|quiver	24728	24687	000070F_R450	77	90
000070F|quiver	16851	16612	000070F_R450	11	90
000070F|quiver	34095	33991	000070F_R450	11	45
000070F|quiver	13644	13540	000070F_R450	11	45
000070F|quiver	8095	7991	000070F_R450	11	45
000070F|quiver	10052	9948	000070F_R450	11	45
000070F|quiver	12076	11987	000070F_R450	11	40
000070F|quiver	32477	32403	000070F_R450	11	35
000070F|quiver	32406	32374	000070F_R450	35	45
000070F|quiver	1163	1059	000070F_R450	11	45
000070F|quiver	23301	23062	000070F_R451	11	90
000070F|quiver	35723	35484	000070F_R451	11	90
000070F|quiver	18453	18214	000070F_R451	11	90
000070F|quiver	20056	19817	000070F_R451	11	90
000070F|quiver	15247	15008	000070F_R451	11	90
000070F|quiver	21677	21438	000070F_R451	11	90
000070F|quiver	24925	24821	000070F_R451	11	45
000070F|quiver	24728	24687	000070F_R451	77	90
000070F|quiver	16851	16612	000070F_R451	11	90
000070F|quiver	34095	33991	000070F_R451	11	45
000070F|quiver	13644	13540	000070F_R451	11	45
000070F|quiver	8095	7991	000070F_R451	11	45
000070F|quiver	10052	9948	000070F_R451	11	45
000070F|quiver	12076	11987	000070F_R451	11	40
000070F|quiver	32477	32403	000070F_R451	11	35
000070F|quiver	32406	32374	000070F_R451	35	45
000070F|quiver	1163	1059	000070F_R451	11	45
000070F|quiver	23301	23062	000070F_R452	11	90
000070F|quiver	35723	35484	000070F_R452	11	90
000070F|quiver	18453	18214	000070F_R452	11	90
000070F|quiver	20056	19817	000070F_R452	11	90
000070F|quiver	15247	15008	000070F_R452	11	90
000070F|quiver	21677	21438	000070F_R452	11	90
000070F|quiver	24925	24821	000070F_R452	11	45
000070F|quiver	24728	24687	000070F_R452	77	90
000070F|quiver	16851	16612	000070F_R452	11	90
000070F|quiver	34095	33991	000070F_R452	11	45
000070F|quiver	13644	13540	000070F_R452	11	45
000070F|quiver	8095	7991	000070F_R452	11	45
000070F|quiver	10052	9948	000070F_R452	11	45
000070F|quiver	12076	11987	000070F_R452	11	40
000070F|quiver	32477	32403	000070F_R452	11	35
000070F|quiver	32406	32374	000070F_R452	35	45
000070F|quiver	1163	1059	000070F_R452	11	45
000070F|quiver	23301	23062	000070F_R453	11	90
000070F|quiver	35723	35484	000070F_R453	11	90
000070F|quiver	18453	18214	000070F_R453	11	90
000070F|quiver	20056	19817	000070F_R453	11	90
000070F|quiver	15247	15008	000070F_R453	11	90
000070F|quiver	21677	21438	000070F_R453	11	90
000070F|quiver	24925	24821	000070F_R453	11	45
000070F|quiver	24728	24687	000070F_R453	77	90
000070F|quiver	16851	16612	000070F_R453	11	90
000070F|quiver	34095	33991	000070F_R453	11	45
000070F|quiver	13644	13540	000070F_R453	11	45
000070F|quiver	8095	7991	000070F_R453	11	45
000070F|quiver	10052	9948	000070F_R453	11	45
000070F|quiver	12076	11987	000070F_R453	11	40
000070F|quiver	32477	32403	000070F_R453	11	35
000070F|quiver	32406	32374	000070F_R453	35	45
000070F|quiver	1163	1059	000070F_R453	11	45
000070F|quiver	23103	23062	000070F_R471	77	90
000070F|quiver	35525	35484	000070F_R471	77	90
000070F|quiver	19858	19817	000070F_R471	77	90
000070F|quiver	21479	21438	000070F_R471	77	90
000070F|quiver	24728	24687	000070F_R471	77	90
000070F|quiver	15049	15008	000070F_R471	77	90
000070F|quiver	18255	18214	000070F_R471	77	90
000070F|quiver	16653	16612	000070F_R471	77	90
000070F|quiver	23103	23062	000070F_R472	77	90
000070F|quiver	35525	35484	000070F_R472	77	90
000070F|quiver	19858	19817	000070F_R472	77	90
000070F|quiver	21479	21438	000070F_R472	77	90
000070F|quiver	24728	24687	000070F_R472	77	90
000070F|quiver	15049	15008	000070F_R472	77	90
000070F|quiver	18255	18214	000070F_R472	77	90
000070F|quiver	16653	16612	000070F_R472	77	90
000070F|quiver	23103	23062	000070F_R473	77	90
000070F|quiver	35525	35484	000070F_R473	77	90
000070F|quiver	19858	19817	000070F_R473	77	90
000070F|quiver	21479	21438	000070F_R473	77	90
000070F|quiver	24728	24687	000070F_R473	77	90
000070F|quiver	15049	15008	000070F_R473	77	90
000070F|quiver	18255	18214	000070F_R473	77	90
000070F|quiver	16653	16612	000070F_R473	77	90
000070F|quiver	23103	23062	000070F_R474	77	90
000070F|quiver	35525	35484	000070F_R474	77	90
000070F|quiver	19858	19817	000070F_R474	77	90
000070F|quiver	21479	21438	000070F_R474	77	90
000070F|quiver	24728	24687	000070F_R474	77	90
000070F|quiver	15049	15008	000070F_R474	77	90
000070F|quiver	18255	18214	000070F_R474	77	90
000070F|quiver	16653	16612	000070F_R474	77	90
000070F|quiver	23301	23062	000070F_R492	11	90
000070F|quiver	35723	35484	000070F_R492	11	90
000070F|quiver	18453	18214	000070F_R492	11	90
000070F|quiver	20056	19817	000070F_R492	11	90
000070F|quiver	16851	16612	000070F_R492	11	90
000070F|quiver	15247	15008	000070F_R492	11	90
000070F|quiver	21677	21438	000070F_R492	11	90
000070F|quiver	34095	34042	000070F_R492	11	28
000070F|quiver	24925	24872	000070F_R492	11	28
000070F|quiver	13644	13591	000070F_R492	11	28
000070F|quiver	32477	32424	000070F_R492	11	28
000070F|quiver	8095	8042	000070F_R492	11	28
000070F|quiver	12076	12023	000070F_R492	11	28
000070F|quiver	10052	9999	000070F_R492	11	28
000070F|quiver	1163	1110	000070F_R492	11	28
000070F|quiver	24728	24687	000070F_R492	77	90
000070F|quiver	23301	23062	000070F_R493	11	90
000070F|quiver	35723	35484	000070F_R493	11	90
000070F|quiver	18453	18214	000070F_R493	11	90
000070F|quiver	20056	19817	000070F_R493	11	90
000070F|quiver	16851	16612	000070F_R493	11	90
000070F|quiver	15247	15008	000070F_R493	11	90
000070F|quiver	21677	21438	000070F_R493	11	90
000070F|quiver	34095	34042	000070F_R493	11	28
000070F|quiver	24925	24872	000070F_R493	11	28
000070F|quiver	13644	13591	000070F_R493	11	28
000070F|quiver	32477	32424	000070F_R493	11	28
000070F|quiver	8095	8042	000070F_R493	11	28
000070F|quiver	12076	12023	000070F_R493	11	28
000070F|quiver	10052	9999	000070F_R493	11	28
000070F|quiver	1163	1110	000070F_R493	11	28
000070F|quiver	24728	24687	000070F_R493	77	90
000070F|quiver	23301	23062	000070F_R494	11	90
000070F|quiver	35723	35484	000070F_R494	11	90
000070F|quiver	18453	18214	000070F_R494	11	90
000070F|quiver	20056	19817	000070F_R494	11	90
000070F|quiver	16851	16612	000070F_R494	11	90
000070F|quiver	15247	15008	000070F_R494	11	90
000070F|quiver	21677	21438	000070F_R494	11	90
000070F|quiver	34095	34042	000070F_R494	11	28
000070F|quiver	24925	24872	000070F_R494	11	28
000070F|quiver	13644	13591	000070F_R494	11	28
000070F|quiver	32477	32424	000070F_R494	11	28
000070F|quiver	8095	8042	000070F_R494	11	28
000070F|quiver	12076	12023	000070F_R494	11	28
000070F|quiver	10052	9999	000070F_R494	11	28
000070F|quiver	1163	1110	000070F_R494	11	28
000070F|quiver	24728	24687	000070F_R494	77	90
000070F|quiver	23301	23062	000070F_R495	11	90
000070F|quiver	35723	35484	000070F_R495	11	90
000070F|quiver	18453	18214	000070F_R495	11	90
000070F|quiver	20056	19817	000070F_R495	11	90
000070F|quiver	16851	16612	000070F_R495	11	90
000070F|quiver	15247	15008	000070F_R495	11	90
000070F|quiver	21677	21438	000070F_R495	11	90
000070F|quiver	34095	34042	000070F_R495	11	28
000070F|quiver	24925	24872	000070F_R495	11	28
000070F|quiver	13644	13591	000070F_R495	11	28
000070F|quiver	32477	32424	000070F_R495	11	28
000070F|quiver	8095	8042	000070F_R495	11	28
000070F|quiver	12076	12023	000070F_R495	11	28
000070F|quiver	10052	9999	000070F_R495	11	28
000070F|quiver	1163	1110	000070F_R495	11	28
000070F|quiver	24728	24687	000070F_R495	77	90
000070F|quiver	18453	18343	000070F_R515	11	47
000070F|quiver	15247	15137	000070F_R515	11	47
000070F|quiver	16851	16741	000070F_R515	11	47
000070F|quiver	13644	13534	000070F_R515	11	47
000070F|quiver	20056	19952	000070F_R515	11	45
000070F|quiver	23301	23197	000070F_R515	11	45
000070F|quiver	21677	21573	000070F_R515	11	45
000070F|quiver	34095	33991	000070F_R515	11	45
000070F|quiver	35723	35619	000070F_R515	11	45
000070F|quiver	24925	24821	000070F_R515	11	45
000070F|quiver	8095	7991	000070F_R515	11	45
000070F|quiver	32477	32424	000070F_R515	11	28
000070F|quiver	12076	12023	000070F_R515	11	28
000070F|quiver	10052	9999	000070F_R515	11	28
000070F|quiver	1163	1110	000070F_R515	11	28
000070F|quiver	18453	18343	000070F_R516	11	47
000070F|quiver	15247	15137	000070F_R516	11	47
000070F|quiver	16851	16741	000070F_R516	11	47
000070F|quiver	13644	13534	000070F_R516	11	47
000070F|quiver	20056	19952	000070F_R516	11	45
000070F|quiver	23301	23197	000070F_R516	11	45
000070F|quiver	21677	21573	000070F_R516	11	45
000070F|quiver	34095	33991	000070F_R516	11	45
000070F|quiver	35723	35619	000070F_R516	11	45
000070F|quiver	24925	24821	000070F_R516	11	45
000070F|quiver	8095	7991	000070F_R516	11	45
000070F|quiver	32477	32424	000070F_R516	11	28
000070F|quiver	12076	12023	000070F_R516	11	28
000070F|quiver	10052	9999	000070F_R516	11	28
000070F|quiver	1163	1110	000070F_R516	11	28
000070F|quiver	18453	18343	000070F_R517	11	47
000070F|quiver	15247	15137	000070F_R517	11	47
000070F|quiver	16851	16741	000070F_R517	11	47
000070F|quiver	13644	13534	000070F_R517	11	47
000070F|quiver	20056	19952	000070F_R517	11	45
000070F|quiver	23301	23197	000070F_R517	11	45
000070F|quiver	21677	21573	000070F_R517	11	45
000070F|quiver	34095	33991	000070F_R517	11	45
000070F|quiver	35723	35619	000070F_R517	11	45
000070F|quiver	24925	24821	000070F_R517	11	45
000070F|quiver	8095	7991	000070F_R517	11	45
000070F|quiver	32477	32424	000070F_R517	11	28
000070F|quiver	12076	12023	000070F_R517	11	28
000070F|quiver	10052	9999	000070F_R517	11	28
000070F|quiver	1163	1110	000070F_R517	11	28
000070F|quiver	18453	18343	000070F_R518	11	47
000070F|quiver	15247	15137	000070F_R518	11	47
000070F|quiver	16851	16741	000070F_R518	11	47
000070F|quiver	13644	13534	000070F_R518	11	47
000070F|quiver	20056	19952	000070F_R518	11	45
000070F|quiver	23301	23197	000070F_R518	11	45
000070F|quiver	21677	21573	000070F_R518	11	45
000070F|quiver	34095	33991	000070F_R518	11	45
000070F|quiver	35723	35619	000070F_R518	11	45
000070F|quiver	24925	24821	000070F_R518	11	45
000070F|quiver	8095	7991	000070F_R518	11	45
000070F|quiver	32477	32424	000070F_R518	11	28
000070F|quiver	12076	12023	000070F_R518	11	28
000070F|quiver	10052	9999	000070F_R518	11	28
000070F|quiver	1163	1110	000070F_R518	11	28
000070F|quiver	15247	15137	000070F_R550	11	47
000070F|quiver	13644	13534	000070F_R550	11	47
000070F|quiver	18453	18343	000070F_R550	11	47
000070F|quiver	16851	16741	000070F_R550	11	47
000070F|quiver	20056	19952	000070F_R550	11	45
000070F|quiver	34095	33991	000070F_R550	11	45
000070F|quiver	23301	23197	000070F_R550	11	45
000070F|quiver	35723	35619	000070F_R550	11	45
000070F|quiver	21677	21573	000070F_R550	11	45
000070F|quiver	24925	24821	000070F_R550	11	45
000070F|quiver	8095	8054	000070F_R550	11	24
000070F|quiver	32477	32433	000070F_R550	11	25
000070F|quiver	12076	12032	000070F_R550	11	25
000070F|quiver	10052	10011	000070F_R550	11	24
000070F|quiver	1163	1119	000070F_R550	11	25
000070F|quiver	15247	15137	000070F_R551	11	47
000070F|quiver	13644	13534	000070F_R551	11	47
000070F|quiver	18453	18343	000070F_R551	11	47
000070F|quiver	16851	16741	000070F_R551	11	47
000070F|quiver	20056	19952	000070F_R551	11	45
000070F|quiver	34095	33991	000070F_R551	11	45
000070F|quiver	23301	23197	000070F_R551	11	45
000070F|quiver	35723	35619	000070F_R551	11	45
000070F|quiver	21677	21573	000070F_R551	11	45
000070F|quiver	24925	24821	000070F_R551	11	45
